200 0,0006824
700 0,0036977
1200 0,0034203
1700 0,0075382
2200 0,0040119
2700 0,0088897
3200 0,0094192
3700 0,0122509
4200 0,0180888
4700 0,0204601
5200 0,0261757
5700 0,0318720
6200 0,0422600
6700 0,0515820
7200 0,0607414
7700 0,0688549
8200 0,0837008
8700 0,0996242
9200 0,1016918
9700 0,1077216
10200 0,1224145
10700 0,1411945
11200 0,1649094
11700 0,1755942
12200 0,1926385
12700 0,2119383
13200 0,2367176
13700 0,2523530
14200 0,2808875
14700 0,2988957
15200 0,3231757
15700 0,3431529
16200 0,3892428
16700 0,4524966
17200 0,5639768
17700 0,6628368
18200 0,5253088
18700 0,5425615
19200 0,5680604
19700 0,5519757
20200 0,5812592
20700 0,6447464
21200 0,7217221
21700 0,7254570
22200 0,7566123
22700 0,7904619
23200 0,9702340
23700 0,8710624
24200 0,9726345
24700 1,0133326
25200 1,0464282
25700 0,9862161
26200 1,0523144
26700 1,1402255
27200 1,1324255
27700 1,1295913
28200 1,2122934
28700 1,2897695
29200 1,3020794
29700 1,3118441
